id,name,logo,top,slug,meta_title,meta_description,created_at,updated_at
68,Palm Tree,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRd9MsjYPjqXXZqVdtMutjR76Pb049IivtM0HwAekxQfCMWWzB1lAUy-QDX6g&s,0,,,,,
69,Gini and Jony,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTusbSsIk7IeTz8tSAsSvSEXypQR5W3J70pi7653ROjSWbF5ybvC98xT0wl93M&s,0,,,,,
70,Being Human,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNDXPsp_PBBEZvxd9dJ7-_RXHbO7oWaW4K7npl8MVrhy_A4DMztYVeuKsJHoA&s,0,,,,,
71,DARK KNIGHT,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAjAC4I37L8R7Gsdr72qOlznSWvBujPVPbUNQSSvp0OILCHmRSy_ZkvKq3cYw&s,0,,,,,
72,LINKIN PARK,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRS4LL6_c9DGl9dEpx1ZX7IwZGcsKkfF59t-f_fRjcmjpCiR2abBV2dXYy2zQ&s,0,,,,,
73,Queen,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLMB_merSfkBZd7K7XzZtY7oJtnLvXc35UpceCc7OPuOhNQWEeP51vEo9YcA&s,0,,,,,
74,Ant,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSalHZD22ZXsxE6XjEy5TnxEQkgbBjTpC04bfIfybe2ZpA99UClwIZCdwbnug&s,0,,,,,
75,United Colors of Benetton,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSEDBrvED4Z1-vj44xoVxGnHVteEtMTMa7bthATlfGVFwL6gxuObhlc0gOdtCQ&s,0,,,,,
76,LOCOMOTIVE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQgHXpb6k-3kauSp5C55ls6NZgSWdzzX-wRs1yK6AqtCsRd1G2TQ8g9XlwclQ&s,0,,,,,
77,HIGHLANDER,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTec5i0mjINkmQTGxYVLxwvtO9D9uwXti23c_0evOdddM8DR6_X905Ba892il8&s,0,,,,,
78,SPYKAR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfH4afYx6bLdEdLSQ5u6HOD2mY-IwDj-5Bti-ajOuvKru-wRytgwlcGGf1XQ&s,0,,,,,
79,Timberland,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZ9uag-VVa6dfzQZNXNkGEqQalhYB2O7AZFskPoKGajfM5tn753_-YMU1Cutg&s,0,,,,,
80,Forever New,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_q1GGqdlmdhR4fvOLXU3MyGjNm7zaKXZlCp8IIzYviMNl_G6cW7LyTDZzlG4&s,0,,,,,
81,s.Oliver,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFF7nvDHwv4Rjl8QwFZPheodO025RDRrHeM-yZyfo8CmpYsRCcUbg73GzmyA&s,0,,,,,
82,SCULLERS FOR HER,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSufX2vf3XcAdBSqqMozTizKpiPkR6qCuO6tMQuS5x9-9HnU1d2DvcAR6cJZg&s,0,,,,,
83,SCULLERS,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSufX2vf3XcAdBSqqMozTizKpiPkR6qCuO6tMQuS5x9-9HnU1d2DvcAR6cJZg&s,0,,,,,
84,MEGADETH,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2BeAxuFsZrbXepzHFMiVeUBFydJj1V6w0zgP0RzS4aAK5eBEgk19-jOxc1iE&s,0,,,,,
85,W,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT16nYRuELiCnfoHKnzE-a-Ncg2PM-jgC3ttiJWCvhBvXpIBZkwzgB2QiQpjA&s,0,,,,,
86,Proline,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1z9P383AlXLr_PqkbHDj9MXCfk14SIDN1V8MS1-2i30zjcvamRYpUGx5ZlXg&s,0,,,,,
